epoch,binaryAccuracy,loss,lr,valBinaryAccuracy,valLoss
0,0.874142855,0.2955577,0.001,0.90400003,0.421568758
1,0.922999991,0.201651915,0.001,0.875999999,0.491217793
2,0.937142851,0.164115922,0.001,0.898000016,0.443647581
3,0.946999993,0.137416748,0.001,0.89599998,0.367262087
4,0.948714279,0.12655723,0.001,0.874000015,0.633399492
5,0.95642857,0.120175058,0.001,0.931999989,0.389493022
6,0.961000002,0.100395184,0.001,0.808000011,0.886746769
7,0.970428572,0.086139399,0.001,0.794000006,0.926273227
8,0.969714288,0.080560325,0.001,0.746000009,1.096414142
9,0.98185715,0.053557561,0.000316228,0.833999965,0.602453381
10,0.98642857,0.038787564,0.000316228,0.848000007,0.602040291
11,0.99471428,0.020357907,0.000316228,0.887999988,0.462764218
12,0.993999999,0.018544149,0.000316228,0.885999992,0.486790932
13,0.994857137,0.017084923,0.000316228,0.914000003,0.386853002
14,0.997714283,0.010238106,0.0001,0.929999988,0.316856986
15,0.998428566,0.007663535,0.0001,0.938,0.276424333
16,0.997714282,0.008854482,0.0001,0.939999969,0.266385319
17,0.998428567,0.007159163,0.0001,0.941999996,0.249918748
18,0.99785714,0.009063698,0.0001,0.946000004,0.255595836
19,0.998285713,0.008175953,0.0001,0.946000004,0.2521018
20,0.99842857,0.005845814,0.0001,0.949999981,0.2371351
21,0.999571427,0.004630878,0.0001,0.951999989,0.241039653
22,0.999142854,0.004448316,0.0001,0.945999985,0.240752943
23,0.99885714,0.004803717,0.0001,0.947999992,0.236907138
24,0.999142855,0.004313813,0.0001,0.95,0.235185812
25,0.999428571,0.004056088,0.0001,0.947999992,0.242434179
26,0.998999998,0.00406922,0.0001,0.95,0.236005706
27,0.998999996,0.004155755,0.0001,0.943999977,0.229160731
28,0.999142857,0.003713801,0.0001,0.937999973,0.231279911
29,0.999285712,0.003502207,0.0001,0.941999989,0.227563565
